
"Everything thing about VIT vellore is very awesome. Campus, hostel, teachers, package. Everything thing is awesome, but only bad thing for me is the food :'( VIT should do something to improve this issue).",8.3

College is good. but the students in college are mostly from the rich families. So they comes with their habit of rude nature. It makes the hostel enviromnet bad. Overall it was nice experience in college with the friends.,7.5

College management is good in every field and the rules are strict inside hostel campus.Overall a good four years of experience.,8.8

"They should extend the in time for girls hostel and should have more freedom because college students are adults so it's not a good idea to have a control on them.And second thing, as VIT being a big institute, has a good no of students. Many people get l",8.5

"Good highlights best infrastructure, liberty to the students, best faculty, nice environment where we will get interest to live and study. Bad highlights are hostel in-time by 9:30 p.m and fines for each and every small mistakes.",8.8

Both, on and off campus housing options are available.&lt;&gt;
But most of the students prefer in campus as the hostels and mess food is way better than other colleges.&lt;&gt;
,8

Housing and food&amp;nbsp;are both available for students in the campus.&lt;&gt;
It has separate hostels for both boys n girls with every type of food available like veg and&amp;nbsp;non-veg.&lt;&gt;
,9

&amp;nbsp;Separate hostel facilities for both girls and boys.There are total 17 boys hostels and 6 girls hostels.&lt;&gt;
Hostels are spacious and well designed and attached with the&amp;nbsp;mess.&lt;&gt;
Students have an option of choosing his/her desired mess.&lt;&gt;
1)South Indian (VEG/NON-VEG).&lt;&gt;
2)North Indian (VEG/NON-VEG).&lt;&gt;
3)Special mess. &amp;nbsp;&lt;&gt;
of various catering services.&lt;&gt;
Quality of food is best&lt;&gt;
From second year onwards &amp;nbsp;room is allotted based upon CGPA of all semester.Different kinds of rooms are available for students.&lt;&gt;
1)6 BED(AC/NON-AC)&lt;&gt;
2)4 BED(AC/NON-AC)&lt;&gt;
3)2 BED(AC/NON-AC) etc.&lt;&gt;
Students are allowed to watch tv whenever they want but not during exams time and night time.&lt;&gt;
Hostel rules are little strict for first-year students,and all students should give biometric attendance during night time.&lt;&gt;
For first-year girls, the outing will be restricted for 3 months.&lt;&gt;
After that, a 2-hour outing will be given daily.&lt;&gt;
A maximum of 6-hour outing on Saturday and Sunday that too with parents permission.&lt;&gt;
,9

On the&amp;nbsp;campus, hostels are nice and good by hostel standards.&lt;&gt;
Food is surprisingly good but you can get bored after a certain point of time for which enough options are there in and around campus covering everything from Indian to Chinese food.&lt;&gt;
,8

VIT is very good at education but the worst thing of VIT is hostels and food.&lt;&gt;
The food in VIT is too worst and many people wasting their money by spending only on the&amp;nbsp;food itself .&lt;&gt;
,3

The only point which lags in case of VIT is its housing and food.&lt;&gt;
Though&amp;nbsp;there are a large hostel campus and many rooms available on sharing as well as a personal basis, the rooms having common washrooms for a common floor are not so good.&lt;&gt;
Hygiene is a concern too and thus food isn\'t up to the mark.&lt;&gt;
,5

Housing and food are good.&lt;&gt;
Hygiene is well maintained.&lt;&gt;
Food is fresh and well served.&lt;&gt;
,8

Housing is good.&lt;&gt;
Among one of the best hostels provided but the food is not good.&lt;&gt;
They charge a lot as per the food quality.&lt;&gt;
,5

The food is good following the rebrand to Good Food, the idents changed to sequences involving the coming together of ingredients to events such as a picnic barbeque, a dinner party and a family Sunday roast.&lt;&gt;
The idents finish with an endboard featuring the circular Good Food logo in the centre of a screen with food imagery in the background, such as fish outlines, knife and fork or wine glasses.[10]&lt;&gt;
,6

Good quality food is available but it gets boring with time.&lt;&gt;
Many fast food centres both on and off campus.&lt;&gt;
Hostels are very good but they have very strict rules.&lt;&gt;
,8

The food is not so great but it\'s quite edible.&lt;&gt;
There are wide varieties being served in and off campus.&lt;&gt;
The hostels are quite good but some rules are a bit irksome.&lt;&gt;
,8

Mess food is really good when you compare it to the food being served in the mess of other colleges.&lt;&gt;
,9

The hostel room allocating system is not appropriate.&lt;&gt;
There is a lot of politics, and the hostel food isn\'t great either.&lt;&gt;
,3

Hostel facilities for both girls and boys.&lt;&gt;
There are total 17 boys hostels and 6 girls hostels. Hostels are spacious and well designed and attached with the&amp;nbsp;mess.&lt;&gt;
Students have an option of choosing his/her desired mess.&lt;&gt;
The food quality is good, but everyone gets bored by the end of 1st year.&lt;&gt;
,5

There are more than 13 hostel blocks for boys and 4 blocks for ladies.&lt;&gt;
The cost of living is less because it is not a big city, anything around 3000-5000 INR will be sufficient for a month.&lt;&gt;
The hostel mess provides students with nutritional and hygienic food.&lt;&gt;
The students also have the choice of selecting vegetarian or non-vegetarian and also between North Indian, South Indian and a special mess,which is continental.&lt;&gt;
There are Nescafe\'s all around the campus for some hot puffs and coffee during the breaks between the classes.&lt;&gt;
,7

Mess food is good but students eventually get bored of them and decide to tend towards the canteen and food court.&lt;&gt;
These paid food services are really up to the mark.&lt;&gt;
Hygiene is maintained properly.&lt;&gt;
,9

"6@***@&lt;p&gt;Separate hostel facilities for both girls and boys.There are total 17 boys hostels and 6 girls hostels.&lt;/p&gt;
&lt;p&gt;Hostels are spacious and well designed and attached with the&amp;nbsp;mess.&lt;/p&gt;
&lt;p&gt;Students have an option of choosing his/her desired mess.&lt;/p&gt;
&lt;p&gt;1)South Indian (VEG/NON-VEG).&lt;/p&gt;
&lt;p&gt;2)North Indian (VEG/NON-VEG).&lt;/p&gt;
&lt;p&gt;3)Special mess. &amp;nbsp;&lt;/p&gt;
&lt;p&gt;of various catering services.&lt;/p&gt;
&lt;p&gt;Quality of food is best&amp;nbsp;&lt;/p&gt;
&lt;p&gt;From second year onwards &amp;nbsp;room is allotted based upon CGPA of all semesters. Different kinds of rooms are available for students.&lt;/p&gt;
&lt;p&gt;1)6 BED(AC/NON-AC)&lt;/p&gt;
&lt;p&gt;2)4 BED(AC/NON-AC)&lt;/p&gt;
&lt;p&gt;3)2 BED(AC/NON-AC) etc.&lt;/p&gt;
&lt;p&gt;students are allowed to watch tv whenever they want but not during exams time and night time.&lt;/p&gt;
&lt;p&gt;hostel rules are little strict for first-year students,and all students should give biometric attendance during night time.&lt;/p&gt;",9

Housing is excellent.&amp;nbsp;&lt;&gt;
The rules are very restrictive though and the food in the mess leaves a lot to be desired.&lt;&gt;
Off-campus options are plenty though and most are very pocket-friendly.&lt;&gt;
,9

The hostels here are amazing! Mostly because they are new and they give a lot of amenities.&lt;&gt;
AC rooms are available and water shortage (which is a rampant issue here in Tamil Nadu) isn\'t an issue for the hostellers. Food is a primary issue here in the hostel. We\'ve had issues with the mess authorities.&lt;&gt;
An action does take place regularly, but as a hosteller incidents of the&amp;nbsp;food issues shouldn\'t be taking place at all.&lt;&gt;
I would give the hostel a 9/10. The food I\'d give 7/10. So on a whole, an 8 would suffice.&lt;&gt;
,8

The quality of food is not up to the mark on the campus but there is wide availability of tasty food around the college.&lt;&gt;
,6

